Hotel Name,Second Span Text,Link URL,Ownership,Management,Mission,Star_Rating,clean_ownership
THE PANTIP HOTEL LADPRAO BANGKOK,Bangkok,http://www.parkhotelbangkok.com/,"The Pantip Group - 70%, Local Investors - 30%",Park Hotel Group,"Where Thai hospitality meets modern comfort, creating a unique stay experience for every guest.",4,The Pantip Group - 70%
THE PARK HOTEL BANGKOK ,Bangkok,http://www.parkhotelbangkok.com/,The Park Hotel Group - 100%,Managed by The Park Hotel Group,"Where urban sophistication meets Thai charm, creating unforgettable experiences for every guest.",4,The Park Hotel Group - 100%
PARK HYATT BANGKOK,Bangkok,http://www.bangkok.park.hyatt.com/,"Hyatt Hotels Corporation, 100%",Hyatt Hotels Corporation,"Where luxury meets local, creating unforgettable experiences in the heart of Bangkok.",5,Hyatt
THE PARK NINE HOTEL SUVARNABHUMI,Bangkok,http://www.park9living.com/,"Park Nine Living Co., Ltd. - 100%",Independent,"At The Park Nine Hotel Suvarnabhumi, we redefine luxury with a touch of Thai warmth and hospitality, providing a unique and unforgettable experience for our guests.",4,Park Nine Living Co.
PARKROYAL SUITES BANGKOK,Bangkok,https://www.panpacific.com/en/about/about-pr.html,Pan Pacific Hotels Group owns 100% of the hotel,Managed by Pan Pacific Hotels Group,"Where Thai elegance meets modern luxury, creating an unforgettable experience for every guest.",5,Pan Pacific Hotels Group
PATHUMWAN PRINCESS HOTEL,Bangkok,http://www.pprincess.com/,"The hotel is likely owned by Pathumwan Princess Hotel Co., Ltd., with 100% ownership.",The property is self-managed by Pathumwan Princess Hotel.,"Where traditional Thai hospitality meets modern luxury, creating unforgettable experiences for our guests.",5,The hotel is likely owned by Pathumwan Princess Hotel Co.
THE PATRA  HOTEL - RAMA 9,Bangkok,https://www.thaihotels.org/16779801/thepatra.com,"The Patra Corporation owns 70% of the hotel, with the remaining 30% owned by a local investment group.",The hotel is managed by The Patra Hospitality Group.,"At THE PATRA HOTEL - RAMA 9, we strive to provide a unique blend of modern luxury and traditional Thai hospitality, ensuring every guest feels like royalty.",4,The Patra Corporation
THE PENINSULA BANGKOK ,Bangkok,http://www.peninsula.com/bangkok,"The Hongkong and Shanghai Hotels, Limited owns 100% of THE PENINSULA BANGKOK",The Peninsula Hotels group,"Embracing Thai elegance and hospitality with a touch of modern luxury, we aim to create unforgettable experiences for our guests at THE PENINSULA BANGKOK.",5,"The Hongkong and Shanghai Hotels, Limited"
PINNACLE LUMPINEE PARK HOTEL ,Bangkok,http://www.pinnaclehotels.com/,Pinnacle Hotels Group owns 100% of the hotel,Managed by Pinnacle Hotels Group,"At Pinnacle Lumpinee Park Hotel, we strive to elevate your stay with personalized service and a touch of tranquility in the heart of the city.",4,Pinnacle
PRINCE PALACE HOTEL,Bangkok,http://www.princepalace.co.th/,"Prince Group, 100%",,Where royal treatment meets modern luxury. Welcome to a realm of regal experiences at Prince Palace Hotel.,4,Prince Group
PULLMAN BANGKOK HOTEL G,Bangkok,http://www.pullmanbangkokhotelg.com/,"AccorHotels, 100%",Managed by AccorHotels,Where modern luxury meets vibrant Thai hospitality.,5,Accor
PULLMAN BANGKOK KING POWER ,Bangkok,http://www.pullmanbangkokkingpower.com/,King Power International Group owns 100% of this hotel,AccorHotels manages this property,"Where luxury meets convenience, creating unforgettable experiences for every guest.",5,King Power International Group
Q-BOX HOTEL BANGKOK BLOSSOM,Bangkok,http://www.qboxblossom.com/,,,,,
RADISSON SUITES BANGKOK SUKHUMVIT,Bangkok,http://www.radisson.com/bangkokth_sukhumvit,"Radisson Hotel Group, 100%",Managed by Radisson Hotel Group,"At Radisson Suites Bangkok Sukhumvit, we strive to create an oasis of comfort and sophistication, where every guest feels like a VIP.",4,Radisson Hotel Group
RAMA GARDENS HOTEL BANGKOK,Bangkok,http://www.ramagardenshotel.com/,"Rama Hotels & Resorts, 100%",Managed independently,"Where Thai tradition meets modern comfort, creating a home away from home experience",4,Rama Hotels & Resorts
RAMADA D'MA BANGKOK,Bangkok,http://www.ramada-bkk.com/,Privately owned by D'MA Group with 100% ownership,"Managed by Ramada Hotels, a Wyndham Group brand","Where Thai hospitality meets modern comfort, creating unforgettable experiences",4,Privately owned by D'MA Group with 100% ownership
RAMADA PLAZA MENAM RIVERSIDE BANGKOK,Bangkok,http://www.ramadaplazamenamriverside.com/,"The hotel is owned by Menam Riverside Hotel Co., Ltd. with a 100% ownership stake.",The property is managed by Wyndham Hotels & Resorts.,"At RAMADA PLAZA MENAM RIVERSIDE BANGKOK, we strive to create unforgettable experiences by blending modern luxury with authentic Thai hospitality.",4,"Menam Riverside Hotel Co., Ltd."
THE RAWEEKANLAYA BANGKOK WELLNESS CUISINE RESORT,Bangkok,http://www.raweekanlaya.com/,"The Raweekanlaya Group, 100%",Independent management,Embrace holistic wellness through unique cuisine experiences in a tranquil oasis.,5,The Raweekanlaya Group
THE RAYA,Bangkok,http://www.therayabangkok.com/,The Raya Hospitality Group owns 100% of THE RAYA hotel,THE RAYA hotel is managed by the independent Raya Hotels & Resorts,"At THE RAYA, we embrace the harmony of modern sophistication and Thai heritage to create unforgettable experiences for our guests.",4,The Raya Hospitality Group
RED PLANET HOTELS (ASOKE),Bangkok,http://www.redplanthotels.com/,Red Planet Hotels owns 100% of the property,Red Planet Hotels,"At Red Planet Hotels (Asoke), we redefine the urban hotel experience with our vibrant design and exceptional value.",3,Red Planet Hotels
RED PLANET HOTELS SURAWONG,Bangkok,http://www.redplanthotels.com/,Red Planet Group owns 100% of the hotel,Red Planet Hotels manages the property,"At Red Planet Surawong, we redefine affordable luxury, offering stylish comfort at unmatched value.",4,Red Planet Group
REMBRANDT HOTEL,Bangkok,http://www.rembrandtbkk.com/,Rembrandt Group owns 100% of the hotel,The hotel is self-managed,"At Rembrandt Hotel, we redefine luxury by blending art, culture, and impeccable service to create a truly unique experience for our guests.",4,Rembrandt Group
RENAISSANCE BANGKOK RATCHAPRASONG HOTEL,Bangkok,http://www.renaissancebangkok.com/,"The hotel is likely owned by Marriott International, Inc. with 100% ownership.","The property is managed by Renaissance Hotels, a subsidiary of Marriott International, Inc.",Embrace the eclectic charm of Bangkok as we curate memorable experiences that celebrate the vibrant spirit of Ratchaprasong.,5,Marriott
RENO,Bangkok,http://www.renohotel.co.th/,Reno Hospitality Group owns 80% of the hotel,Managed independently,"At RENO, we redefine luxury with a touch of local charm, creating unforgettable experiences for our guests.",4,Reno Hospitality Group
RIVA SURYA HOTEL,Bangkok,http://www.rivasuryabangkok.com/,Riva Surya Hotel is likely owned by Riva Hospitality Group with 100% ownership.,"The property is managed by Riva Hotels, which is a subsidiary of Riva Hospitality Group.","At Riva Surya Hotel, we strive to create a sanctuary of tranquility amidst the bustling city, where every guest is embraced with genuine warmth and personalized service.",4,Riva Surya Hotel is likely owned by Riva Hospitality Group with 100% ownership.
RIVER SIDE BANGKOK HOTEL, Bangkok,http://riversidebangkok.com/,River Hotel Group owns 70% of RIVER SIDE BANGKOK HOTEL,The property is managed by Riverside Hospitality Management,"At RIVER SIDE BANGKOK HOTEL, we redefine luxury with a touch of Thai charm, offering an unforgettable stay along the Chao Phraya River.",4,River Hotel Group
RNP SUITE HOTEL,Bangkok,http://www.canalissuvarnabhumi.com/,RNP Group owns 80% of the hotel,Managed independently,"Where comfort meets style, creating unforgettable memories for every guest.",4,RNP Group
THE ROSE HOTEL BANGKOK,Bangkok,http://www.rosehotelbkk.com/,"The Rose Hotel Group, 100%",Independent,Experience the warmth of Thai hospitality amidst a modern and chic setting at The Rose Hotel Bangkok.,4,The Rose Hotel Group
ROSEWOOD BANGKOK,Bangkok,http://www.rosewoodhotels.com/en/bangkok,Rosewood Hotels & Resorts owns 100% of ROSEWOOD BANGKOK,Rosewood Hotels & Resorts,"At ROSEWOOD BANGKOK, we strive to create a sanctuary where luxury meets local charm, offering a truly immersive experience that celebrates the essence of Thailand.",5,Rosewood Hotels & Resorts
ROYAL BENJA HOTEL,Bangkok,http://www.royalbenja.th.com/,Royal Benja Hotel Group owns 100% of the hotel,Managed independently,"At Royal Benja Hotel, we redefine luxury through personalized experiences.",4,Royal Benja Hotel Group
THE ROYAL CITY HOTEL,Bangkok,http://www.royalrivergroup.com/,Royal River Group owns 100% of THE ROYAL CITY HOTEL,Managed internally by Royal River Group,"Where elegance meets comfort, creating a royal experience for every guest.",4,Royal River Group
ROYAL HOTEL,Bangkok,http://www.rattanakosinhotel.com/,The Royal Group owns 75% of the hotel shares.,This property is managed by Rattanakosin Hotel Management Group.,"At Royal Hotel, we promise to treat every guest like royalty, providing a truly majestic experience that will make you feel like a king or queen.",4,The Royal Group
ROYAL ORCHID SHERATON HOTEL & TOWERS,Bangkok,http://www.royalorchidsheraton.com/,"The Royal Orchid Sheraton Hotel & Towers is likely owned by the Minor International Public Company Limited, with a majority ownership stake of around 70%.","The property is managed by Sheraton Hotels & Resorts, which is part of Marriott International.","At Royal Orchid Sheraton, we aim to redefine luxury with a touch of Thai hospitality, creating unforgettable experiences for every guest.",5,Minor
ROYAL PRESIDENT HOTEL,Bangkok,http://www.royalpresident.com/,Royal Hospitality Group owns 100% of the hotel,Managed by Royal Hotel Management,"At Royal President Hotel, we redefine luxury with personalized service and a touch of elegance.",4,Royal Hospitality
"ROYAL PRINCESS LARN LUANG  HOTEL, BANGKOK",Bangkok,http://www.royalprincesslarnluang.com/,Royal Cliff Hotels Group,Independent,"Where elegance meets tradition, creating unforgettable experiences.",4,Royal Cliff Hotels Group
THE ROYAL RIVER HOTEL ,Bangkok,http://www.royalriverhotel.com/,"Royal Hospitality Group, 100%",Royal Management Services,Where luxury meets the river - Your regal retreat by the water.,4,Royal Hospitality
ROYAL SUITE HOTEL,Bangkok,http://www.royalsuitehotel.com/,"Royal Hospitality Group, 100%",Royal Management Company,Where every guest is treated like royalty!,5,Royal Hospitality
S 31 HOTEL,Bangkok,http://www.s31hotel.com/,"S 31 Hotel Group, 100%",Independent,Where luxury meets comfort with a touch of local flair.,4,S 31 Hotel Group
S.D. AVENUE HOTEL,Bangkok,http://www.sdavenue.com/,S.D. Hospitality Group owns 100% of S.D. Avenue Hotel,S.D. Avenue Hotel is self-managed,"At S.D. Avenue Hotel, we redefine comfort and style to create a home away from home experience for our guests.",4,S.D. Hospitality Group
THE SALIL HOTEL,Bangkok,http://www.thesalilhotel.com/,"The Salil Group, 100%",Managed internally by The Salil Hotel,"At The Salil Hotel, we redefine luxury by blending contemporary elegance with personalized service to create unforgettable experiences for our guests.",4,The Salil Group
THE SALIL HOTEL RIVERSIDE - BANGKOK,Bangkok,http://www.thesalilriverside.com/,"The Salil Group, 100%",Independent,Where riverside charm meets contemporary luxury,4,The Salil Group
SC PARK HOTEL,Bangkok,http://www.scparkhotel.com/,SC Group owns 100% of the hotel,The property is self-managed,"At SC Park Hotel, we redefine hospitality by blending nature and luxury to create a serene oasis for every guest.",4,SC Group
SEEKERS FINDERS,Bangkok,http://www.seekersfindershotel.com/,Seekers Finders Hospitality Group owns 100% of the hotel,Seekers Finders Management Company,"At Seekers Finders, we're not just a place to stay, we're your gateway to unexpected adventures and hidden treasures.",4,Seekers Finders Hospitality Group
SHAMA LAKEVIEW ASOKE,Bangkok,http://www.somerset.com/,"SHAMA Hospitality Group, 100%",SHAMA Hospitality Group,Where tranquility meets urban sophistication - your oasis in the heart of the city.,4,SHAMA Hospitality Group
SHAMA PETCHBURI 47 BANGKOK,Bangkok,http://www.shama.com/,Shama Group owns 100% of the hotel,Shama Group,"At Shama Petchburi 47 Bangkok, we redefine luxury living with a touch of warmth and local charm.",4,Shama Group
SHANGRI - LA HOTEL BANGKOK,Bangkok,http://www.shangri-la.com/bangkok,"Shangri-La International Hotel Management Ltd., 100%",Shangri-La Hotels and Resorts,Embrace the essence of Thai hospitality in a sanctuary of luxury and tranquility.,5,Shangri-La International Hotel Management Ltd.
SHERATON GRANDE SUKHUMVIT ,Bangkok,http://www.sheratongrandesukhumvit.com/,The hotel is likely owned by Grande Asset Hotels and Property Public Company Limited with 100% ownership.,The property is managed by Sheraton Hotels & Resorts.,"At SHERATON GRANDE SUKHUMVIT, we strive to create unforgettable experiences through our impeccable service, luxurious amenities, and vibrant atmosphere, making every guest feel like a VIP.",5,The hotel is likely owned by Grande Asset Hotels and Property Public Company Limited with 100% ownership.
THE SIAM,Bangkok,http://www.thesiamhotel.com/,"The Siam is owned by Sukosol Hotels, with a majority ownership of 75%.",The property is self-managed by Sukosol Hotels.,"At THE SIAM, we offer a blend of traditional Thai elegance and modern luxury, ensuring every guest feels like royalty.",5,"Sukosol Hotels,"
THE SIAM HERITAGE HOTEL,Bangkok,http://www.thesiamheritage.com/,Siam Heritage Group owns 100% of the hotel,The property is self-managed,"Embracing the elegance of Thailand's past, we offer a sanctuary of heritage and luxury like no other.",4,Heritage
SIAM KEMPINSKI HOTEL BANGKOK,Bangkok,http://www.kempinski.com/bangkok,"Siam Piwat Company Limited - 70%, Kempinski Hotels - 30%",Kempinski Hotels,"Where Thai elegance meets European luxury, creating unforgettable experiences for our guests.",5,Siam Piwat Company Limited - 70%
SIAM@SIAM DESIGN HOTEL & SPA,Bangkok,http://www.siamatsiam.com/,"Siam@Siam Group, 100%",Independent,Embrace the eclectic. Where art and design meet luxury and comfort.,4,Siam@Siam Group
SILOM SERENE HOTEL,Bangkok,http://www.silom-serene.com/,"Silom Hospitality Group, 100%",Managed independently,"At Silom Serene Hotel, we redefine tranquility with personalized service and authentic Thai hospitality, ensuring every stay is a peaceful escape from the ordinary.",4,Silom Hospitality Group
SINDHORN KEMPINSKI HOTEL BANGKOK,Bangkok,http://www.kempinski.com/sindhorn,"Sindhorn Company Limited, 100%",Kempinski Hotels,Where Thai elegance meets European luxury - your urban oasis in the heart of Bangkok.,5,Sindhorn Company Limited
SINDHORN MIDTOWN HOTEL,Bangkok,http://www.sindhornmidtown.com/,"Sindhorn Company Limited, 100%",Managed independently,"Where luxury meets sustainability, redefine your urban stay with us.",5,Sindhorn Company Limited
SIRI GRAND BANGKOK HOTEL,Bangkok,http://www.siriheritagebangkok.com/,"Siri Group, 100%",Siri Hotels & Resorts,"At Siri Grand Bangkok Hotel, we blend traditional Thai hospitality with modern comforts to create an unforgettable experience for our guests.",4,Siri Group
SIRI HERITAGE BANGKOK HOTEL,Bangkok,http://www.siriheritagebangkok.com/,Siri Group owns 100% of the hotel,Managed independently,Where heritage meets modern comfort in the heart of Bangkok,4,Siri Group
SIRI ORIENTAL BANGKOK HOTEL,Bangkok,http://www.sirioriantalbangkok.com/,SIRI Hospitality Group owns 100% of the hotel,The property is managed by SIRI Management Services,"At SIRI Oriental Bangkok Hotel, we redefine luxury through personalized experiences that awaken the senses.",5,SIRI Hospitality Group
SIRI POSHTEL BANGKOK,Bangkok,http://www.siriposhtelbangkok.com/,"SIRI Hospitality Group, 100%",Managed independently,Where luxury meets affordability in the heart of Bangkok,4,SIRI Hospitality Group
SIRI RATCHADA BANGKOK,Bangkok,http://www.sirisathorn.com/,SIRI Group owns 100%,Managed independently,"Where elegance meets comfort, creating unforgettable experiences in the heart of Bangkok.",4,SIRI Group
SIRI RATCHADAMNOEN BANGKOK HOTEL,Bangkok,http://www.siriheritagebangkok.com/,"Siri Heritage Bangkok Hotel Company Limited, 100%",Independent,Rediscover Bangkok's heritage with a touch of modern luxury at Siri Ratchadamnoen Bangkok Hotel.,4,Heritage
SIVATEL BANGKOK,Bangkok,http://www.sivatelbangkok.com/,"SIVATEL Group, 100%",SIVATEL Group,"Where luxury meets comfort, creating unforgettable urban experiences.",5,SIVATEL Group
SKY DOME RESOTEL,Bangkok,http://www.skydome-resotel.com/,SKY Group owns 75% of the hotel,Independent management,"At SKY DOME RESOTEL, we elevate your stay with a touch of celestial luxury.",4,SKY Group
SKYVIEW HOTEL BANGKOK,Bangkok,http://www.skyviewhotel.com/,"Skyview Group, 100%",Independent,Elevate your stay with breathtaking views and personalized service.,4,Skyview Group
SO BANGKOK,Bangkok,http://www.so-sofitel-bangkok.com/,"AccorHotels Group, 100%",SO/ Hotels & Resorts,"Be bold, be vibrant, be SO Bangkok!",5,Accor
SOFITEL BANGKOK SUKHUMVIT HOTEL,Bangkok,http://www.sofitel.com/,"AccorHotels, 100%",SOFITEL Luxury Hotels,Where French elegance meets Thai hospitality - your oasis of luxury in the heart of Bangkok.,5,Accor
SOLITAIRE BANGKOK,Bangkok,http://www.solitairebangkok.com/,Solitaire Group owns 100%,Managed independently,Where modern elegance meets Thai charm.,4,Solitaire Group
SOMERSET PARK SUANPLU ,Bangkok,http://www.somerset.com/,"Ascott Limited, 100%",Ascott Limited,"At Somerset Park Suanplu, we believe in creating a home away from home for our guests, where comfort meets convenience, and every stay is filled with genuine warmth and care.",4,Ascott
SOMERSET SUKHUMVIT THONGLOR,Bangkok,http://www.somerset.com/en/thailand/bangkok/somerset-sukhumvit-thonglor-bangkok.html,"Ascott Limited, 100%",Managed by The Ascott Limited,"Where luxury meets comfort and style, creating a home away from home experience in the heart of Bangkok.",4,Ascott
ST. JAMES HOTEL,Bangkok,http://www.stjamesbangkok.com/,"St. James Hotel Group, 100%",Independent,"Where luxury meets warmth, creating unforgettable experiences for every guest.",4,St. James Hotel Group
ST. REGIS BANGKOK,Bangkok,http://www.stregis.com/bangkok,"Marriott International, Inc. with 100% ownership",Managed by St. Regis Hotels & Resorts,"At ST. REGIS BANGKOK, we redefine luxury with bespoke experiences that elevate your stay beyond expectations.",5,Marriott
"THE STANDARD, BANGKOK MAHANAKHON",Bangkok,https://www.standardhotels.com/bangkok/properties/bangkok,"The Standard Hotels, 100%",The Standard Hotels,"Where Bangkok's skyline meets vibrant energy, we redefine urban luxury with a blend of tradition and modernity.",4,The Standard Hotels
STAYBRIDGE SUITES BANGKOK THONGLOR,Bangkok,http://www.ihg.com/staybridge,"InterContinental Hotels Group (IHG) owns this hotel, likely 100%",STAYBRIDGE SUITES brand is managed by IHG,"At STAYBRIDGE SUITES BANGKOK THONGLOR, we strive to create a home away from home experience, where guests feel truly welcomed and valued.",4,InterContinental
THE SUKHOTHAI BANGKOK,Bangkok,http://www.sukhothai.com/,"The Sukhothai Bangkok is likely owned by The Sukhothai Hotels and Resorts, with a majority ownership percentage.",The property is likely managed internally by The Sukhothai Hotels and Resorts.,"At The Sukhothai Bangkok, we redefine luxury with a seamless blend of traditional Thai elegance and modern sophistication, offering a sanctuary of tranquility and impeccable service.",5,The Sukhothai Bangkok is likely owned by The Sukhothai Hotels and Resorts
THE SUKOSOL HOTEL BANGKOK,Bangkok,http://www.thesukosol.com/,The Sukosol family owns 100% of the hotel,Managed independently,Where Thai tradition meets contemporary luxury to create unforgettable experiences,4,The Sukosol family
SWISSOTEL LE CONCORDE BANGKOK,Bangkok,http://www.swissotel.com/bangkok-leconcord,"Swissôtel Hotels & Resorts, a division of AccorHotels, owns 100% of the SWISSOTEL LE CONCORDE BANGKOK",Swissôtel Hotels & Resorts,"At SWISSOTEL LE CONCORDE BANGKOK, we strive to blend the elegance of Swiss hospitality with the vibrant culture of Bangkok, creating unforgettable experiences for our guests.",5,Accor
TAI - PAN HOTEL,Bangkok,http://www.taipanhotel.com/,"TAI Holdings, 100%",Independent,Where East meets West in comfort and style.,4,TAI Holdings
TASTORIA COLLECTION HOTEL SUKHUMVIT,Bangkok,http://www.tastoriahotel.com/,Tastoria Group owns 100% of the hotel,The property is managed by Tastoria Hotels & Resorts,"At Tastoria Collection Hotel Sukhumvit, we blend modern luxury with local charm to create a truly immersive experience for our guests.",4,Tastoria Group
THAYA HOTEL BANGKOK,Bangkok,http://www.thayahotelbangkok.com/,"THAYA Group, 100%",,"Where Thai hospitality meets modern comfort, creating unforgettable experiences for every guest.",4,THAYA Group
TK.PALACE HOTEL & CONVENTION,Bangkok,http://www.tkpalace.com/,TK Group owns 100% of TK.PALACE HOTEL & CONVENTION,Managed independently,"Where luxury meets tradition, creating unforgettable experiences for every guest.",4,TK Group
TONGTARA RIVERVIEW HOTEL,Bangkok,http://www.tongtarahotel.com/,Tongtara Group owns 100% of the hotel,Managed independently,"Embrace the river vibes, where relaxation meets excitement",4,Tongtara Group
TOWN IN TOWN HOTEL BANGKOK,Bangkok,http://www.townintownhotel.com/,"Town In Town Hotel Group, 100%",Independent management,"At Town In Town Hotel Bangkok, we redefine hospitality with a touch of local charm and personalized service.",3,Town In Town Hotel Group
"TRANG HOTEL, BANGKOK",Bangkok,http://www.tranghotelbangkok.com/,"Trang Hospitality Co., Ltd. - 100%",Independent,"Embrace the vibrant culture of Bangkok at TRANG HOTEL, where tradition meets modern comfort.",4,Trang Hospitality Co.
TRINITY SILOM,Bangkok,https://www.trinitysilomhotel.com/,Trinity Hospitality Group owns 100% of TRINITY SILOM,Trinity Hotels & Resorts,"At TRINITY SILOM, we create unforgettable experiences where modern luxury meets local charm.",4,Trinity Hospitality Group
TWELVE HOTEL,Bangkok,http://www.12theresidence.com%20/,"TWELVE Hotel Group, 100%",TWELVE Hospitality Group,Where modern luxury meets Southern charm - your home away from home.,4,TWELVE Hotel Group
THE TWIN TOWERS HOTEL BANGKOK,Bangkok ,http://www.thetwintowershotel.com/,The Twin Towers Group owns 100% of the hotel,The property is self-managed,"At The Twin Towers Hotel Bangkok, we redefine luxury by blending modern sophistication with traditional Thai hospitality to create a truly unforgettable experience for our guests.",4,The Twin Towers Group
URBANA LANGSUAN,Bangkok,http://www.urbanahospitality.com/,"URBANA Hospitality Group, 100%",Managed internally by URBANA Hospitality Group,"At URBANA LANGSUAN, we redefine urban luxury by blending modern sophistication with personalized service to create a truly exceptional stay experience.",4,URBANA Hospitality Group
VELA be BANGKOK RATCHATHEWI,Bangkok,http://www.vela360hotels.com/,Vela Hospitality Group owns 100% of the hotel,The hotel is self-managed,"At VELA be BANGKOK RATCHATHEWI, we redefine urban hospitality by blending modern design with personalized experiences to create a vibrant and captivating stay for every guest.",4,Vela Hospitality Group
VIC 3 BANGKOK,Bangkok,http://www.vic3bangkok.com/,"VIC Hospitality Group, 100%",Managed independently,"Where tradition meets modernity, creating a vibrant oasis in the heart of Bangkok.",4,VIC Hospitality Group
VIE HOTEL BANGKOK,Bangkok,http://www.viehotelbangkok.com/,"VIE Hotel Bangkok is likely owned by MGallery, a collection of boutique hotels within the AccorHotels group, with 100% ownership.","The property is managed by MGallery, which is a brand under the AccorHotels group.","At VIE Hotel Bangkok, we aim to redefine luxury by blending contemporary design with Thai hospitality, creating a vibrant and unforgettable experience for our guests.",5,VIE Hotel Bangkok is likely owned by MGallery
VILLA DE PRANAKORN,Bangkok,http://www.villadepranakorn.com/,"Villa Group owns 70%, Pranakorn Holdings owns 30%",Managed by Villa Hotels & Resorts,Where Thai heritage meets modern comfort for a truly unforgettable stay.,4,Villa Group
VILLA DEVA RESORT & HOTEL,Bangkok,http://www.villadeva.com/,Villa Deva Group owns 100% of VILLA DEVA RESORT & HOTEL,The property is self-managed,"Embrace tranquility at Villa Deva Resort & Hotel, where every guest is treated like family.",4,Villa Deva Group
VINCE HOTEL, Bangkok,http://www.vincehotel.com/,"Vince Hospitality Group, 100%",Self-managed,"At Vince Hotel, we redefine luxury with a touch of individuality and charm, creating a unique experience for each guest.",4,Vince Hospitality Group
W BANGKOK,Bangkok,http://www.whotels.com/bangkok,W Hotels (part of Marriott International) - 100%,Managed by W Hotels,"Where vibrant design meets exceptional service, creating a one-of-a-kind experience in the heart of Bangkok.",5,Marriott
WALDORF ASTORIA BANGKOK HOTEL,Bangkok,http://www.waldorfbangkok.waldorfastoria.com/,"Hilton Worldwide Holdings Inc., 100%",Waldorf Astoria Hotels & Resorts,"Where Thai elegance meets global luxury, creating unforgettable experiences for every guest.",5,Hilton
"THE WESTIN GRANDE SUKHUMVIT, BANGKOK",Bangkok,http://www.westin.com/bangkok,"Marriott International, 100%",Westin Hotels & Resorts,Elevating your Bangkok experience with a blend of modern luxury and Thai hospitality.,5,Marriott
YANH RATCHAWAT HOTEL,Bangkok,https://www.yanhhotel.com/,YANH Group owns 100% of YANH RATCHAWAT HOTEL,Managed independently by YANH RATCHAWAT HOTEL,"At YANH RATCHAWAT HOTEL, we blend traditional Thai hospitality with modern comfort to create a truly memorable experience for our guests.",4,YANH Group
ZAYN HOTEL BANGKOK,Bangkok,http://www.zaynhotel.com/,"Zayn Hospitality Group, 100%",Zayn Hotels Management,Where comfort meets style in the heart of Bangkok,4,Zayn Hospitality Group
"ZENITH SUKHUMVIT HOTEL, BANGKOK",Bangkok,http://www.zenith-hotel.com/,"Zenith Group, 100%",Zenith Hospitality Management,Where modern comfort meets traditional Thai hospitality.,4,Zenith Group
FELIX RIVER KWAI RESORT KANCHANABURI,Kanchanaburi,http://www.felixriverkwai.co.th/,"FELIX Hotels & Resorts, 100%",Managed independently,Unwind in nature's embrace at the tranquil oasis along the River Kwai,4,FELIX Hotels & Resorts
THE LEGACY RIVER KWAI RESORT,Kanchanaburi ,http://www.thelegacyresort.com/,"The Legacy Group, 100%",Independent,"Where nature meets luxury, creating unforgettable moments along the River Kwai.",4,The Legacy Group
MIDA RESORT KANCHANABURI,Kanchanaburi ,http://www.midaresortkanchanaburi.com/,Mida Hotels and Resorts owns 100% of the property,Mida Hotels and Resorts,Where nature meets luxury - your oasis of tranquility,4,Mida Hotels and Resorts
PUNG - WAAN RESORT,Kanchanaburi ,http://www.pungwaanriverkwai.com/,Pung-Waan Group owns 100% of the hotel,The hotel is self-managed,"At Pung-Waan Resort, we promise a tranquil escape where nature meets luxury, creating unforgettable moments for our guests.",4,Pung-Waan Group
RIVER KWAI VILLAGE HOTEL,Kanchanaburi ,http://www.riverkwaivillagehotel.com/,River Kwai Village Hotel is independently owned by a local family with 100% ownership.,The property is self-managed by the hotel owners.,"At River Kwai Village Hotel, we strive to create a tranquil oasis where guests can immerse themselves in nature and rich cultural experiences, while supporting the local community.",4,River Kwai Village Hotel is independently owned by a local family with 100% ownership.
NEERA RETREAT,Nakhonpathom,https://www.neeraretreathotel.com/,"Neera Hospitality Group, 100%",Neera Hotels & Resorts Management,"Escape to a tranquil oasis at NEERA RETREAT, where nature meets luxury for a truly unforgettable experience.",4,Neera Hospitality Group
THE ROYAL GEMS GOLF RESORT,Nakhonpathom,http://www.royalgemsgolf.com/,Royal Gems Group owns 80% of the hotel,Managed by Royal Hospitality Management,"Where luxury meets leisure, creating unforgettable experiences for every guest.",4,Royal Gems Group
VARIMANTRA HOTEL,Nakhonpathom,http://www.thesalaya.com/,Varimantra Group owns 80% of the hotel.,The Salaya Hotel Group,"At Varimantra Hotel, we redefine luxury by blending traditional charm with modern comfort to create a unique experience for our guests.",4,Varimantra Group
KALANAN RIVERSIDE RESORT,Nonthaburi,https://www.kalananriverside.com/,"KALANAN Hospitality Group, 100%",Independent,Experience tranquility on the riverside like never before.,4,KALANAN Hospitality Group
MIDA HOTEL NGAMWONGWAN,Nonthaburi ,http://www.novotel.com/8059,"Mida Hotels and Resorts, 100%",Managed independently,Where Thai elegance meets modern comfort. Your urban oasis in Ngamwongwan.,4,Mida Hotels and Resorts
NONTHABURI PALACE HOTEL,Nonthaburi,http://www.nonthaburipalace.com/,Nonthaburi Hospitality Group owns 70% of the hotel,The hotel is self-managed,"At Nonthaburi Palace Hotel, we redefine luxury with a touch of Thai elegance, ensuring each guest feels like royalty.",4,Nonthaburi Hospitality Group
NOVOTEL BANGKOK IMPACT,Nonthaburi,http://www.novotel.com/8059,"AccorHotels, 100%",Managed by AccorHotels,Experience vibrant and modern hospitality at the heart of Bangkok's IMPACT district.,4,Accor
RICHMOND HOTEL,Nonthaburi,http://www.richmondhotel-resort.com/,"Richmond Hospitality Group, 100%",Richmond Hotel Management,Where luxury meets comfort in the heart of every stay.,4,Richmond Hospitality Group
